id,origin_base,origin_location,origin_code,departure_date,departure_time,destination_base,destination_location,destination_code,status,base_price
1,London,Heathrow,LHR,20/11/2024,06:00,Italy,Rome,FCO,DELAYED,220
2,Italy,Rome,FCO,20/11/2024,07:30,London,Heathrow,LHR,ONTIME,220
3,London,Heathrow,LHR,20/11/2024,10:30,Italy,Milan,MXP,ONTIME,200
4,London,Heathrow,LHR,20/11/2024,19:30,Italy,Milan,MXP,DELAYED,200
5,London,Heathrow,LHR,20/11/2024,21:00,Italy,Milan,MXP,ONTIME,200
6,Italy,Milan,MXP,20/11/2024,18:00,London,Heathrow,LHR,DELAYED,200
7,London,Heathrow,LHR,20/11/2024,07:30,Italy,Venice,VCE,ONTIME,210
8,London,Heathrow,LHR,20/11/2024,13:30,Italy,Venice,VCE,ONTIME,210
9,Italy,Venice,VCE,20/11/2024,10:30,London,Heathrow,LHR,ONTIME,210
10,London,Heathrow,LHR,20/11/2024,06:00,Italy,Florence,FLR,DELAYED,205
11,Italy,Florence,FLR,20/11/2024,06:00,London,Heathrow,LHR,ONTIME,205
12,London,Heathrow,LHR,20/11/2024,07:30,Italy,Naples,NAP,ONTIME,230
13,Italy,Naples,NAP,20/11/2024,12:00,London,Heathrow,LHR,DELAYED,230
14,Italy,Naples,NAP,20/11/2024,21:00,London,Heathrow,LHR,ONTIME,230
15,London,Gatwick,LGW,20/11/2024,10:30,Italy,Rome,FCO,DELAYED,200
16,London,Gatwick,LGW,20/11/2024,19:30,Italy,Rome,FCO,ONTIME,200
17,Italy,Rome,FCO,20/11/2024,07:30,London,Gatwick,LGW,ONTIME,200
18,Italy,Rome,FCO,20/11/2024,10:30,London,Gatwick,LGW,ONTIME,200
19,Italy,Rome,FCO,20/11/2024,15:00,London,Gatwick,LGW,ONTIME,200
20,London,Gatwick,LGW,20/11/2024,09:00,Italy,Milan,MXP,ONTIME,190
21,London,Gatwick,LGW,20/11/2024,12:00,Italy,Milan,MXP,ONTIME,190
22,London,Gatwick,LGW,20/11/2024,19:30,Italy,Milan,MXP,DELAYED,190
23,Italy,Milan,MXP,20/11/2024,06:00,London,Gatwick,LGW,ONTIME,190
24,London,Gatwick,LGW,20/11/2024,09:00,Italy,Venice,VCE,ONTIME,195
25,London,Gatwick,LGW,20/11/2024,18:00,Italy,Venice,VCE,ONTIME,195
26,London,Gatwick,LGW,20/11/2024,10:30,Italy,Florence,FLR,ONTIME,185
27,London,Gatwick,LGW,20/11/2024,13:30,Italy,Florence,FLR,DELAYED,185
28,Italy,Florence,FLR,20/11/2024,13:30,London,Gatwick,LGW,ONTIME,185
29,Italy,Florence,FLR,20/11/2024,19:30,London,Gatwick,LGW,ONTIME,185
30,London,Gatwick,LGW,20/11/2024,15:00,Italy,Naples,NAP,ONTIME,210
31,Italy,Naples,NAP,20/11/2024,12:00,London,Gatwick,LGW,ONTIME,210
32,Italy,Naples,NAP,20/11/2024,18:00,London,Gatwick,LGW,ONTIME,210
33,Italy,Rome,FCO,20/11/2024,12:00,London,Stansted,STN,ONTIME,180
34,Italy,Rome,FCO,20/11/2024,18:00,London,Stansted,STN,ONTIME,180
35,London,Stansted,STN,20/11/2024,07:30,Italy,Milan,MXP,ONTIME,175
36,London,Stansted,STN,20/11/2024,09:00,Italy,Milan,MXP,ONTIME,175
37,London,Stansted,STN,20/11/2024,12:00,Italy,Milan,MXP,ONTIME,175
